2024-11-12 14:50:37.739 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:50:37.739 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@154] command: 11
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@283] camCmdSetResolution: width = 640, height = 480, fps = 30
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@154] command: 2
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:50:38.707 INFO  [11312] [ProcessCameraCommand@154] command: 13
2024-11-12 14:53:24.322 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:53:24.323 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 14:53:24.323 INFO  [11312] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2024-11-12 14:53:39.718 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 14:53:39.718 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:01:46.392 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:01:46.393 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:01:46.393 INFO  [11312] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:21:05.534 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:21:05.534 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:21:05.534 INFO  [11312] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:21:20.272 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:21:20.272 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:25:33.758 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:25:33.758 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:25:33.758 INFO  [11312] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:29:35.007 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2024-11-12 15:29:35.008 INFO  [11312] [ProcessCameraCommand@154] command: 14
2024-11-12 15:29:35.008 INFO  [11312] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2024-11-12 15:29:38.537 INFO  [11312] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
