2025-12-05 14:13:41.509 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 14:13:41.509 INFO  [15740] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-05 15:19:02.060 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 15:19:02.060 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 15:19:02.060 INFO  [15740] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-05 15:19:17.555 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 15:19:17.556 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 15:24:23.067 INFO  [15740] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-05 15:24:23.067 INFO  [15740] [ProcessCameraCommand@154] command: 14
2025-12-05 15:24:23.067 INFO  [15740] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-06 18:01:31.451 INFO  [21868] [InitLog@123] -------------------------------- create a new logger!
2025-12-06 18:01:31.452 INFO  [21868] [InitLog@124] processName = OmenCommandCenterBackground
2025-12-06 18:01:31.452 INFO  [21868] [InitLog@139] -------------------------------- InitLog(), version = 1101.2511.2.0
2025-12-06 18:01:31.452 INFO  [21868] [InitLog@140] Process Path: C:\Program Files\WindowsApps\AD2F1837.OMENCommandCenter_1101.2511.2.0_x64__v10z8vjag6ke6\OmenCommandCenterApp\OmenCommandCenterBackground.exe
2025-12-06 18:01:31.452 INFO  [21868] [CreatePipeServer@114] enter function: CreatePipeServer()
2025-12-06 18:01:31.452 INFO  [21868] [StartMainThread@575] enter function: StartMainThread()
2025-12-06 18:01:31.454 INFO  [11004] [CaptureThread@462] enter function: CaptureThread()
2025-12-06 18:01:31.454 INFO  [17168] [PipeServerThread@104] enter function: PipeServerThread()
2025-12-06 18:01:31.454 INFO  [11004] [SharedMemory::Init@5] enter function: SharedMemory::Init()
2025-12-06 18:01:31.454 INFO  [17168] [NamedPipeServer::Create@207] NamedPipeServer::Create()
2025-12-06 18:01:31.455 INFO  [17168] [NamedPipeServer::CreateAndConnectInstance@44] NamedPipeServer::CreateAndConnectInstance()
2025-12-06 18:01:31.455 INFO  [17168] [NamedPipeServer::CreateAndConnectInstance@51] pipeName: \\.\pipe\hpvirtualcamera_fte4
2025-12-06 18:01:31.455 INFO  [17168] [NamedPipeServer::ConnectToNewClient@81] NamedPipeServer::CreateAndConnectInstance()
2025-12-06 18:01:31.455 INFO  [17168] [NamedPipeServer::Create@233] WaitForSingleObjectEx()
2025-12-06 18:01:31.456 INFO  [11004] [CaptureThread@476] CreateMutex(mutex_getNvVfxLib_vcam)
2025-12-06 18:01:31.456 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 18:01:31.457 INFO  [11004] [ProcessCameraCommand@154] command: 16
2025-12-06 18:01:31.457 INFO  [11004] [ProcessCameraCommand@389] g_isStore = 1
2025-12-06 18:01:31.457 INFO  [11004] [CaptureThread@553] ReleaseMutex(mutex_getNvVfxLib_vcam)
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@154] command: 11
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@283] camCmdSetResolution: width = 1920, height = 1080, fps = 30
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@154] command: 2
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 18:01:31.514 INFO  [11004] [ProcessCameraCommand@154] command: 13
2025-12-06 18:07:08.238 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 18:07:08.239 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-06 18:07:08.239 INFO  [11004] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-06 19:23:26.002 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 19:23:26.003 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-06 19:23:26.003 INFO  [11004] [ProcessCameraCommand@377] Resume: IsCameraOpen = 0, _isPreview = 0
2025-12-06 19:30:50.776 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 19:30:50.777 INFO  [11004] [ProcessCameraCommand@154] command: 14
2025-12-06 19:30:50.777 INFO  [11004] [ProcessCameraCommand@356] Suspend: IsCameraOpen = 0, _isPreview = 0
2025-12-06 19:31:06.249 INFO  [11004] [ProcessCameraCommand@140] enter function: ProcessCameraCommand()
2025-12-06 19:31:06.249 INFO  [11004] [ProcessCameraCommand@154] command: 14
