2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2025-03-07 09:03:39.747 INFO  [10528] [CVCam::~CVCam@366] CVCam::~CVCam()
2025-03-07 09:03:39.747 INFO  [10528] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2025-03-14 13:35:19.903 INFO  [16208] [InitLog@251] -------------------------------- create a new logger!
2025-03-14 13:35:19.912 INFO  [16208] [InitLog@252] processName = msedge
2025-03-14 13:35:19.913 INFO  [16208] [InitLog@269] -------------------------------- InitLog()
2025-03-14 13:35:19.913 INFO  [16208] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2025-03-14 13:35:19.913 INFO  [16208] [QueryConfig@29] QueryConfig()
2025-03-14 13:35:19.913 INFO  [16208] [QueryConfig@45] filePath = C:\Users\medta\AppData\Local\Packages\AD2F1837.OMENCommandCenter_v10z8vjag6ke6\LocalCache\Local\OmenCameraConfig\ResolutionData.json
2025-03-14 13:35:19.913 INFO  [16208] [QueryConfig@58] Width = 1920
2025-03-14 13:35:19.913 INFO  [16208] [QueryConfig@59] Height = 1080
2025-03-14 13:35:19.913 INFO  [16208] [QueryConfig@60] Fps = 30
2025-03-14 13:35:19.913 INFO  [16208] [CVCam::CreateInstance@346] CVCam::CreateInstance()
2025-03-14 13:35:19.913 INFO  [16208] [CVCam::CVCam@355] CVCam::CVCam()
2025-03-14 13:35:19.913 INFO  [16208] [CVCamStream::CVCamStream@394] CVCamStream()
2025-03-14 13:35:19.913 INFO  [16208] [CVCamStream::GetMediaType@536] CVCamStream::GetMediaType(), iPosition = 4
2025-03-14 13:35:19.913 INFO  [16208] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-14 13:35:19.913 INFO  [16208] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-14 13:35:19.913 INFO  [16208] [CVCamStream::Get@827] CVCamStream::Get()
2025-03-14 13:35:19.913 INFO  [16208] [CVCamStream::QueryInterface@413] CVCamStream::QueryInterface()
2025-03-14 13:35:19.913 INFO  [16208] [CVCam::QueryInterface@371] CVCam::QueryInterface()
2025-03-14 13:35:19.913 INFO  [16208] [CVCamStream::GetNumberOfCapabilities@729] CVCamStream::GetNumberOfCapabilities()
2025-03-14 13:35:19.914 INFO  [16208] [CVCamStream::GetStreamCaps@738] CVCamStream::GetStreamCaps(), iIndex = 0
2025-03-14 13:35:19.914 INFO  [16208] [CVCam::~CVCam@366] CVCam::~CVCam()
2025-03-14 13:35:19.914 INFO  [16208] [CVCamStream::~CVCamStream@406] ~CVCamStream()
2025-03-14 14:05:31.214 INFO  [16208] [InitLog@228] -------------------------------- using existing logger!
2025-03-14 14:05:31.214 INFO  [16208] [InitLog@269] -------------------------------- InitLog()
2025-03-14 14:05:31.214 INFO  [16208] [InitLog@270] Process Path: C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe
2025-03-14 14:05:31.214 INFO  [16208] [QueryConfig@29] QueryConfig()
